City,State,Country,CountryCode,PostalCode,Sex,EmailPromotion,EmailAddress,PhoneNumberType,OnlineOrderFlag,OrderQty,UnitPrice,SubTotal,TaxAmt,Freight,TotalDue,ShipMethod,ShipBase,ShipRate,FullDate
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,3,24.294,25409.34,2435.8805,761.2127,28606.4332,CARGO TRANSPORT 5,8.99,1.49,2013-12-16
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,6,72.0,26775.474,2559.7641,799.9263,30135.1644,CARGO TRANSPORT 5,8.99,1.49,2013-12-19
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,1120.49,1174.48,93.9584,29.362,1297.8004,XRQ - TRUCK GROUND,3.95,0.99,2013-08-11
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,24.99,1184.46,94.7568,29.6115,1308.8283,XRQ - TRUCK GROUND,3.95,0.99,2013-09-19
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,35.0,124.97,9.9976,3.1243,138.0919,XRQ - TRUCK GROUND,3.95,0.99,2013-10-01
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,1,1430.442,28733.58,2766.4152,864.5048,32364.5,CARGO TRANSPORT 5,8.99,1.49,2014-06-30
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,2,445.41,26125.854,2533.9448,791.8578,29451.6566,CARGO TRANSPORT 5,8.99,1.49,2014-03-15
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,34.99,48.97,3.9176,1.2243,54.1119,XRQ - TRUCK GROUND,3.95,0.99,2013-10-23
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,7.95,2317.92,185.4336,57.948,2561.3016,XRQ - TRUCK GROUND,3.95,0.99,2013-10-22
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,1,1.374,358.272,35.3239,11.0387,404.6346,CARGO TRANSPORT 5,8.99,1.49,2014-05-27
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,3,445.41,34591.986,3304.3382,1032.6057,38928.9299,CARGO TRANSPORT 5,8.99,1.49,2013-12-03
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,7,2.994,73920.7391,7112.1478,2222.5462,83255.4331,CARGO TRANSPORT 5,8.99,1.49,2014-03-05
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,3.99,38.98,3.1184,0.9745,43.0729,XRQ - TRUCK GROUND,3.95,0.99,2013-07-18
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,3.99,31.27,2.5016,0.7818,34.5534,XRQ - TRUCK GROUND,3.95,0.99,2013-08-07
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,2.29,27.28,2.1824,0.682,30.1444,XRQ - TRUCK GROUND,3.95,0.99,2013-08-12
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,0,8,1242.8518,59518.7599,5716.9554,1786.5486,67022.2639,CARGO TRANSPORT 5,8.99,1.49,2014-03-15
Burlingame,California,United States,US,94010,,0,emma17@adventure-works.com,Cell,-1,1,2.29,23.78,1.9024,0.5945,26.2769,XRQ - TRUCK GROUND,3.95,0.99,2013-10-14
Burlingame,California,United States,US,94010,,0,emma18@adventure-works.com,Home,0,3,647.994,39972.1321,3875.0458,1210.9518,45058.1297,CARGO TRANSPORT 5,8.99,1.49,2014-01-31
Burlingame,California,United States,US,94010,,0,emma18@adventure-works.com,Home,-1,1,28.99,33.98,2.7184,0.8495,37.5479,XRQ - TRUCK GROUND,3.95,0.99,2013-08-15
Burlingame,California,United States,US,94010,,0,emma18@adventure-works.com,Home,0,1,12.144,24912.348,2377.1978,742.8743,28032.4201,CARGO TRANSPORT 5,8.99,1.49,2014-06-03
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,3,469.794,57363.2615,5546.9369,1733.4178,64643.6162,CARGO TRANSPORT 5,8.99,1.49,2014-05-12
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,3,14.694,29133.471,3049.6412,953.0129,33136.1251,CARGO TRANSPORT 5,8.99,1.49,2014-05-02
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,1,334.0575,26261.707,2983.7778,932.4306,30177.9154,CARGO TRANSPORT 5,8.99,1.49,2014-02-08
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,-1,1,4.99,140.45,11.236,3.5113,155.1973,XRQ - TRUCK GROUND,3.95,0.99,2013-09-28
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,-1,1,21.98,625.47,50.0376,15.6368,691.1444,XRQ - TRUCK GROUND,3.95,0.99,2013-08-13
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,1,356.898,19600.14,1885.5622,589.2382,22074.9404,CARGO TRANSPORT 5,8.99,1.49,2014-03-19
Paris,Seine (Paris),France,FR,75005,,2,victoria17@adventure-works.com,Cell,0,3,1466.01,84380.7379,8222.4775,2569.5242,95172.7396,CARGO TRANSPORT 5,8.99,1.49,2014-03-28
Colma,California,United States,US,94014,,0,emma0@adventure-works.com,Home,-1,1,9.99,2344.96,187.5968,58.624,2591.1808,XRQ - TRUCK GROUND,3.95,0.99,2013-06-23
Colma,California,United States,US,94014,,0,emma0@adventure-works.com,Home,0,3,818.7,31786.1904,3114.6122,973.3163,35874.1189,CARGO TRANSPORT 5,8.99,1.49,2014-03-19
Bellingham,Washington,United States,US,98225,,0,gerald40@adventure-works.com,Cell,-1,1,34.99,574.98,45.9984,14.3745,635.3529,XRQ - TRUCK GROUND,3.95,0.99,2011-07-31
Bellingham,Washington,United States,US,98225,,0,gerald40@adventure-works.com,Cell,0,4,209.256,50212.8485,4825.5893,1507.9966,56546.4344,CARGO TRANSPORT 5,8.99,1.49,2014-04-10
Bellingham,Washington,United States,US,98225,,0,gerald40@adventure-works.com,Cell,0,10,20.994,38380.9856,3673.6169,1148.0053,43202.6078,CARGO TRANSPORT 5,8.99,1.49,2014-04-06
San Gabriel,California,United States,US,91776,,2,gerald42@adventure-works.com,Home,-1,1,2384.07,2419.06,193.5248,60.4765,2673.0613,XRQ - TRUCK GROUND,3.95,0.99,2013-08-09
San Gabriel,California,United States,US,91776,,2,gerald42@adventure-works.com,Home,0,4,52.647,59518.7599,5716.9554,1786.5486,67022.2639,CARGO TRANSPORT 5,8.99,1.49,2014-03-31
Calgary,Alberta,Canada,CA,T2P 2G8,,0,emma5@adventure-works.com,Cell,0,6,48.594,68640.1406,6648.4683,2077.6464,77366.2553,CARGO TRANSPORT 5,8.99,1.49,2014-06-03
Calgary,Alberta,Canada,CA,T2P 2G8,,0,emma5@adventure-works.com,Cell,0,5,41.994,29140.8,2788.1476,871.2961,32800.2437,CARGO TRANSPORT 5,8.99,1.49,2014-05-31
Warrington,England,United Kingdom,GB,WA1,,0,tamara10@adventure-works.com,Cell,-1,1,34.99,2514.93,201.1944,62.8733,2778.9977,XRQ - TRUCK GROUND,3.95,0.99,2013-10-06
Warrington,England,United Kingdom,GB,WA1,,0,tamara10@adventure-works.com,Cell,-1,1,4.99,26.97,2.1576,0.6743,29.8019,XRQ - TRUCK GROUND,3.95,0.99,2013-08-23
Warrington,England,United Kingdom,GB,WA1,,0,tamara10@adventure-works.com,Cell,-1,1,4.99,59.98,4.7984,1.4995,66.2779,XRQ - TRUCK GROUND,3.95,0.99,2013-10-27
Lynnwood,Washington,United States,US,98036,,0,tamara12@adventure-works.com,Cell,-1,1,34.99,2399.95,191.996,59.9988,2651.9448,XRQ - TRUCK GROUND,3.95,0.99,2013-06-02
Lynnwood,Washington,United States,US,98036,,0,tamara12@adventure-works.com,Cell,-1,1,49.99,128.97,10.3176,3.2243,142.5119,XRQ - TRUCK GROUND,3.95,0.99,2011-09-21
Lynnwood,Washington,United States,US,98036,,0,tamara12@adventure-works.com,Cell,0,1,24.6935,98.774,7.9019,2.4694,109.1453,CARGO TRANSPORT 5,8.99,1.49,2013-11-21
Paris,Seine (Paris),France,FR,75007,,0,emma21@adventure-works.com,Cell,-1,1,63.5,617.47,49.3976,15.4368,682.3044,XRQ - TRUCK GROUND,3.95,0.99,2013-06-08
Woodburn,Oregon,United States,US,97071,,1,elizabeth5@adventure-works.com,Home,-1,1,8.99,78.98,6.3184,1.9745,87.2729,XRQ - TRUCK GROUND,3.95,0.99,2011-09-11
Woodburn,Oregon,United States,US,97071,,1,elizabeth5@adventure-works.com,Home,-1,1,4.99,36.27,2.9016,0.9068,40.0784,XRQ - TRUCK GROUND,3.95,0.99,2013-07-25
Woodburn,Oregon,United States,US,97071,,1,elizabeth5@adventure-works.com,Home,0,3,11.994,60281.31,5792.1284,1810.0401,67883.4785,CARGO TRANSPORT 5,8.99,1.49,2013-12-30
Lancaster,England,United Kingdom,GB,LA1 1LN,,1,elizabeth6@adventure-works.com,Cell,-1,1,8.99,30.97,2.4776,0.7743,34.2219,XRQ - TRUCK GROUND,3.95,0.99,2011-09-04
Lancaster,England,United Kingdom,GB,LA1 1LN,,1,elizabeth6@adventure-works.com,Cell,0,1,54.942,34063.824,3266.6699,1020.8343,38351.3282,CARGO TRANSPORT 5,8.99,1.49,2013-12-24
Lancaster,England,United Kingdom,GB,LA1 1LN,,1,elizabeth6@adventure-works.com,Cell,-1,1,34.99,2338.97,187.1176,58.4743,2584.5619,XRQ - TRUCK GROUND,3.95,0.99,2013-08-16
Boulogne-sur-Mer,Pas de Calais,France,FR,62200,,0,elizabeth14@adventure-works.com,Cell,-1,1,8.99,62.98,5.0384,1.5745,69.5929,XRQ - TRUCK GROUND,3.95,0.99,2013-07-04
Boulogne-sur-Mer,Pas de Calais,France,FR,62200,,0,elizabeth14@adventure-works.com,Cell,-1,1,4.99,74.98,5.9984,1.8745,82.8529,XRQ - TRUCK GROUND,3.95,0.99,2013-09-21
Boulogne-sur-Mer,Pas de Calais,France,FR,62200,,0,elizabeth14@adventure-works.com,Cell,-1,1,21.49,21.49,1.7192,0.5373,23.7465,XRQ - TRUCK GROUND,3.95,0.99,2013-07-12
Woodburn,Oregon,United States,US,97071,,0,elizabeth15@adventure-works.com,Cell,0,2,218.454,21306.444,2037.1037,636.5949,23980.1426,CARGO TRANSPORT 5,8.99,1.49,2013-12-24
Woodburn,Oregon,United States,US,97071,,0,elizabeth15@adventure-works.com,Cell,-1,1,1214.85,1243.84,99.5072,31.096,1374.4432,XRQ - TRUCK GROUND,3.95,0.99,2013-08-18
Woodburn,Oregon,United States,US,97071,,0,elizabeth15@adventure-works.com,Cell,0,5,1430.442,54904.38,5300.3677,1656.3649,61861.1126,CARGO TRANSPORT 5,8.99,1.49,2014-05-28
Imperial Beach,California,United States,US,91932,,1,elizabeth24@adventure-works.com,Home,-1,1,21.98,59.91,4.7928,1.4978,66.2006,XRQ - TRUCK GROUND,3.95,0.99,2013-09-10
Imperial Beach,California,United States,US,91932,,1,elizabeth24@adventure-works.com,Home,0,5,29.994,4241.586,377.6289,118.009,4737.2239,CARGO TRANSPORT 5,8.99,1.49,2014-03-03
München,Hessen,Germany,DE,80074,,0,elizabeth25@adventure-works.com,Cell,0,3,32.394,41944.4472,4016.9572,1255.2991,47216.7035,CARGO TRANSPORT 5,8.99,1.49,2014-01-12
München,Hessen,Germany,DE,80074,,0,elizabeth25@adventure-works.com,Cell,0,4,183.9382,72301.9511,7043.8365,2201.1989,81546.9865,CARGO TRANSPORT 5,8.99,1.49,2013-11-19
Los Angeles,California,United States,US,90012,,1,elizabeth27@adventure-works.com,Home,0,1,149.874,40967.2231,3924.7752,1226.4923,46118.4906,CARGO TRANSPORT 5,8.99,1.49,2014-03-20
Los Angeles,California,United States,US,90012,,1,elizabeth27@adventure-works.com,Home,0,4,602.346,108982.7474,10616.1592,3317.5497,122916.4563,CARGO TRANSPORT 5,8.99,1.49,2014-04-26
Los Angeles,California,United States,US,90012,,1,elizabeth27@adventure-works.com,Home,0,3,218.454,11999.13,1166.76,364.6125,13530.5025,CARGO TRANSPORT 5,8.99,1.49,2014-05-07
Los Angeles,California,United States,US,90012,,1,elizabeth27@adventure-works.com,Home,0,7,32.394,22748.73,2157.262,674.1444,25580.1364,CARGO TRANSPORT 5,8.99,1.49,2014-05-24
Los Angeles,California,United States,US,90012,,1,elizabeth27@adventure-works.com,Home,0,3,323.994,90020.6146,8866.0475,2770.6398,101657.3019,CARGO TRANSPORT 5,8.99,1.49,2014-06-25
N. Vancouver,British Columbia,Canada,CA,V7L 4J4,,2,alisha7@adventure-works.com,Home,-1,1,34.99,43.98,3.5184,1.0995,48.5979,XRQ - TRUCK GROUND,3.95,0.99,2013-06-27
Paris,Seine (Paris),France,FR,75007,,0,emma21@adventure-works.com,Cell,0,6,4.77,52766.5746,5213.177,1629.1178,59608.8694,CARGO TRANSPORT 5,8.99,1.49,2014-04-10
Tacoma,Washington,United States,US,98403,,0,emma22@adventure-works.com,Home,0,1,200.052,32755.8056,3122.016,975.63,36853.4516,CARGO TRANSPORT 5,8.99,1.49,2014-05-08
Tacoma,Washington,United States,US,98403,,0,emma22@adventure-works.com,Home,0,7,20.994,28195.896,2693.5039,841.72,31731.1199,CARGO TRANSPORT 5,8.99,1.49,2014-06-10
Hawthorne,Queensland,Australia,AU,4171,,2,elizabeth11@adventure-works.com,Home,-1,1,2294.99,2309.97,184.7976,57.7493,2552.5169,XRQ - TRUCK GROUND,3.95,0.99,2011-10-01
Hawthorne,Queensland,Australia,AU,4171,,2,elizabeth11@adventure-works.com,Home,-1,1,4.99,58.47,4.6776,1.4618,64.6094,XRQ - TRUCK GROUND,3.95,0.99,2013-06-15
Hawthorne,Queensland,Australia,AU,4171,,2,elizabeth11@adventure-works.com,Home,0,2,1430.442,55103.4671,5996.4757,1873.8986,62973.8414,CARGO TRANSPORT 5,8.99,1.49,2013-11-21
Melbourne,Victoria,Australia,AU,3000,,1,elizabeth13@adventure-works.com,Home,-1,1,2319.99,2334.97,186.7976,58.3743,2580.1419,XRQ - TRUCK GROUND,3.95,0.99,2013-06-13
Melbourne,Victoria,Australia,AU,3000,,1,elizabeth13@adventure-works.com,Home,-1,1,9.99,2334.97,186.7976,58.3743,2580.1419,XRQ - TRUCK GROUND,3.95,0.99,2011-10-10
Melbourne,Victoria,Australia,AU,3000,,1,elizabeth13@adventure-works.com,Home,0,11,20.2942,65683.368,6708.6741,2096.4607,74488.5028,CARGO TRANSPORT 5,8.99,1.49,2013-11-24
Gloucestershire,England,United Kingdom,GB,GL7 1RY,,0,elizabeth16@adventure-works.com,Home,0,2,72.894,46703.1548,5298.9745,1655.9295,53658.0588,CARGO TRANSPORT 5,8.99,1.49,2013-12-12
Gloucestershire,England,United Kingdom,GB,GL7 1RY,,0,elizabeth16@adventure-works.com,Home,-1,1,69.99,128.97,10.3176,3.2243,142.5119,XRQ - TRUCK GROUND,3.95,0.99,2013-08-15
Gloucestershire,England,United Kingdom,GB,GL7 1RY,,0,elizabeth16@adventure-works.com,Home,0,4,728.91,53598.63,5149.8403,1609.3251,60357.7954,CARGO TRANSPORT 5,8.99,1.49,2014-03-18
Goulburn,New South Wales,Australia,AU,2580,,0,elizabeth18@adventure-works.com,Cell,0,1,2.994,15380.646,1474.5253,460.7892,17315.9605,CARGO TRANSPORT 5,8.99,1.49,2013-12-10
Goulburn,New South Wales,Australia,AU,2580,,0,elizabeth18@adventure-works.com,Cell,0,1,445.41,1336.23,128.2781,40.0869,1504.595,CARGO TRANSPORT 5,8.99,1.49,2014-04-12
Goulburn,New South Wales,Australia,AU,2580,,0,elizabeth18@adventure-works.com,Cell,0,1,37.254,37.254,3.6757,1.1487,42.0784,CARGO TRANSPORT 5,8.99,1.49,2014-06-28
Sedro Woolley,Washington,United States,US,98284,,0,kayla4@adventure-works.com,Home,0,5,20.994,73920.7391,7112.1478,2222.5462,83255.4331,CARGO TRANSPORT 5,8.99,1.49,2014-02-28
Sedro Woolley,Washington,United States,US,98284,,0,kayla4@adventure-works.com,Home,-1,1,35.0,35.0,2.8,0.875,38.675,XRQ - TRUCK GROUND,3.95,0.99,2013-10-16
Brisbane,Queensland,Australia,AU,4000,,2,alisha6@adventure-works.com,Home,-1,1,21.98,2351.96,188.1568,58.799,2598.9158,XRQ - TRUCK GROUND,3.95,0.99,2013-11-15
Brisbane,Queensland,Australia,AU,4000,,2,alisha6@adventure-works.com,Home,0,12,14.2042,57771.7641,6201.0736,1937.8355,65910.6732,CARGO TRANSPORT 5,8.99,1.49,2014-05-21
Lemon Grove,California,United States,US,91945,,1,alisha8@adventure-works.com,Home,-1,1,2.29,31.27,2.5016,0.7818,34.5534,XRQ - TRUCK GROUND,3.95,0.99,2013-08-07
Lemon Grove,California,United States,US,91945,,1,alisha8@adventure-works.com,Home,0,5,29.994,25283.1022,2786.5509,870.7971,28940.4502,CARGO TRANSPORT 5,8.99,1.49,2014-04-09
Lemon Grove,California,United States,US,91945,,1,alisha8@adventure-works.com,Home,0,8,323.994,17765.0361,1663.0268,519.6959,19947.7588,CARGO TRANSPORT 5,8.99,1.49,2014-05-05
Everett,Washington,United States,US,98201,,1,kayla5@adventure-works.com,Cell,-1,1,1700.99,1763.97,141.1176,44.0993,1949.1869,XRQ - TRUCK GROUND,3.95,0.99,2013-07-08
Everett,Washington,United States,US,98201,,1,kayla5@adventure-works.com,Cell,0,19,41.2445,103226.8852,9956.7327,3111.479,116295.0969,CARGO TRANSPORT 5,8.99,1.49,2014-01-08
Everett,Washington,United States,US,98201,,1,kayla5@adventure-works.com,Cell,0,3,24.294,67059.6362,6573.0031,2054.0635,75686.7028,CARGO TRANSPORT 5,8.99,1.49,2014-02-15
Paris,Seine (Paris),France,FR,75019,,0,damien23@adventure-works.com,Home,0,5,728.91,52756.092,5065.8345,1583.0733,59404.9998,CARGO TRANSPORT 5,8.99,1.49,2014-01-05
Paris,Seine (Paris),France,FR,75019,,0,damien23@adventure-works.com,Home,-1,1,3.99,63.97,5.1176,1.5993,70.6869,XRQ - TRUCK GROUND,3.95,0.99,2013-10-01
